Ville,Date_Predite,Temp_Predite,Prob_Pluie,Pluie_Prevue
Adelaide,2017-01-19,32.54,0.9783,1
Albany,2017-01-19,22.49,0.0244,0
Albury,2017-01-19,31.36,0.9615,1
AliceSprings,2017-01-19,35.68,0.0605,0
BadgerysCreek,2017-01-19,31.83,0.9288,1
Ballarat,2017-01-19,26.54,0.9495,1
Bendigo,2017-01-19,28.14,0.6573,1
Brisbane,2017-01-19,33.47,0.004,0
Cairns,2017-01-19,30.6,0.6492,1
Canberra,2017-01-19,33.95,0.6663,1
Cobar,2017-01-19,40.11,0.9562,1
CoffsHarbour,2017-01-19,28.14,0.214,0
Dartmoor,2017-01-19,26.21,0.8903,1
Darwin,2017-01-19,32.04,0.6249,1
GoldCoast,2017-01-19,29.63,0.3222,0
Hobart,2017-01-19,22.29,0.784,1
Katherine,2017-01-19,33.09,0.6944,1
Launceston,2017-01-19,21.91,0.6469,1
Melbourne,2017-01-19,24.1,0.9805,1
MelbourneAirport,2017-01-19,24.5,0.9733,1
Mildura,2017-01-19,29.71,0.9018,1
Moree,2017-01-19,36.98,0.8997,1
MountGambier,2017-01-19,24.72,0.2201,0
MountGinini,2017-01-19,18.66,0.6182,1
Newcastle,2017-01-19,32.53,0.2887,0
Nhil,2017-01-19,28.02,0.9842,1
NorahHead,2017-01-19,27.23,0.8582,1
NorfolkIsland,2017-01-19,24.89,0.2045,0
Nuriootpa,2017-01-19,32.47,0.9961,1
PearceRAAF,2017-01-19,29.77,0.0,0
Penrith,2017-01-19,32.68,0.9358,1
Perth,2017-01-19,31.85,0.0,0
PerthAirport,2017-01-19,33.36,0.0,0
Portland,2017-01-19,22.35,0.5426,1
Richmond,2017-01-19,29.77,0.9867,1
Sale,2017-01-19,24.14,0.4171,0
SalmonGums,2017-01-19,29.93,0.0004,0
Sydney,2017-01-19,28.56,0.0843,0
SydneyAirport,2017-01-19,27.71,0.7057,1
Townsville,2017-01-19,29.65,0.6638,1
Tuggeranong,2017-01-19,28.43,0.1157,0
Uluru,2017-01-19,33.79,0.263,0
WaggaWagga,2017-01-19,31.62,0.2183,0
Walpole,2017-01-19,20.46,0.4976,0
Watsonia,2017-01-19,25.04,0.9851,1
Williamtown,2017-01-19,25.74,0.1981,0
Witchcliffe,2017-01-19,23.28,0.2117,0
Wollongong,2017-01-19,24.92,0.1247,0
Woomera,2017-01-19,33.01,0.1425,0
