Ville,Date_Predite,Temp_Predite,Prob_Pluie,Pluie_Prevue
Adelaide,2017-03-19,-35.46,0.0,0
Albany,2017-03-19,-33.05,0.0,0
Albury,2017-03-19,-32.25,0.0,0
AliceSprings,2017-03-19,-33.29,0.0,0
BadgerysCreek,2017-03-19,-29.91,0.0,0
Ballarat,2017-03-19,-33.0,0.0,0
Bendigo,2017-03-19,-33.45,0.0,0
Brisbane,2017-03-19,-28.36,0.0,0
Cairns,2017-03-19,-29.47,0.0,0
Canberra,2017-03-19,-31.73,0.0,0
Cobar,2017-03-19,-31.93,0.0,0
CoffsHarbour,2017-03-19,-30.32,0.0,0
Dartmoor,2017-03-19,-36.01,0.0,0
Darwin,2017-03-19,-34.71,0.0,0
GoldCoast,2017-03-19,-30.19,0.0,0
Hobart,2017-03-19,-35.72,0.0,0
Katherine,2017-03-19,-32.04,0.0,0
Launceston,2017-03-19,-36.97,0.0,0
Melbourne,2017-03-19,-36.79,0.0,0
MelbourneAirport,2017-03-19,-36.57,0.0,0
Mildura,2017-03-19,-31.45,0.0,0
Moree,2017-03-19,-29.61,0.0,0
MountGambier,2017-03-19,-35.41,0.0,0
MountGinini,2017-03-19,-32.88,0.0,0
Newcastle,2017-03-19,-32.43,0.0,0
Nhil,2017-03-19,-32.7,0.0,0
NorahHead,2017-03-19,-30.26,0.0,0
NorfolkIsland,2017-03-19,-31.3,0.0,0
Nuriootpa,2017-03-19,-33.19,0.0,0
PearceRAAF,2017-03-19,-35.07,0.0,0
Penrith,2017-03-19,-33.32,0.0,0
Perth,2017-03-19,-34.87,0.0,0
PerthAirport,2017-03-19,-35.54,0.0,0
Portland,2017-03-19,-35.34,0.0,0
Richmond,2017-03-19,-32.89,0.0,0
Sale,2017-03-19,-35.05,0.0,0
SalmonGums,2017-03-19,-33.73,0.0,0
Sydney,2017-03-19,-29.58,0.0,0
SydneyAirport,2017-03-19,-29.19,0.0,0
Townsville,2017-03-19,-28.7,0.0,0
Tuggeranong,2017-03-19,-31.99,0.0,0
Uluru,2017-03-19,-35.37,0.0,0
WaggaWagga,2017-03-19,-30.42,0.0,0
Walpole,2017-03-19,-37.81,0.0,0
Watsonia,2017-03-19,-37.82,0.0,0
Williamtown,2017-03-19,-30.23,0.0,0
Witchcliffe,2017-03-19,-38.2,0.0,0
Wollongong,2017-03-19,-29.51,0.0,0
Woomera,2017-03-19,-34.49,0.0,0
